Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Manisha Yadav,44,,Konkan,January,Festival,8,3,,Business
Gaurav Pandey,30,Female,Kashmir,January,Summer,12,9,No,Business
Pooja Iyer,39,Male,Kashmir,June,Summer,10,4,No,Festival
Manisha Patil,59,Male,Kashmir,July,Winter,9,8,Yes,Festival
Sai Jadhav,56,Male,Goa,April,Winter,10,4,Yes,Business
Sunita Naidu,39,Female,Konkan,September,Summer,3,6,Yes,Business
Anika More,35,,Manali,July,Monsoon,9,3,Yes,Festival
,39,Female,,February,Summer,7,7,No,Holiday
Saanvi Deshmukh,21,Female,Goa,,Festival,7,5,No,Holiday
Sneha Jadhav,58,Female,Goa,June,Monsoon,4,2,Yes,Festival
Aadhya Thakur,54,Male,Goa,April,Monsoon,13,9,No,Holiday
Abhilasha Singh,34,Male,Shimla,November,Winter,6,7,No,Holiday
Sunita Patil,24,Male,Kashmir,March,Summer,14,7,No,Festival
Vihaan Iyer,19,Male,Shimla,March,Summer,11,1,Yes,Business
Krishna Waghmare,25,Male,Goa,May,Summer,,6,Yes,Festival
Reyansh Kulkarni,31,Female,Jaipur,November,Monsoon,12,5,Yes,Pilgrimage
Gaurav Jadhav,19,Female,Kashmir,September,Summer,2,9,No,Business
Sujeet Reddy,50,Male,,February,,3,9,Yes,Business
Manisha Yadav,31,Female,Konkan,July,Festival,9,7,No,
Krishna Iyer,55,Male,,March,Festival,8,2,No,Business
Aarav Patil,55,Male,Manali,May,Monsoon,4,8,Yes,Business
Reyansh Chitkote,27,Male,Manali,March,Monsoon,8,1,No,Festival
Manisha Mishra,49,Male,Goa,May,Winter,7,8,No,Business
Aarav Reddy,21,,Kashmir,March,Winter,4,5,Yes,Holiday
Kiran Deshmukh,36,Male,Manali,June,Festival,13,1,Yes,Business
Sneha Reddy,32,Male,Manali,June,Winter,14,6,Yes,Business
Ananya Naidu,58,Male,Konkan,May,Winter,11,,Yes,Pilgrimage
Krishna Mishra,53,Female,Goa,May,Festival,4,9,No,Festival
Manisha Jadhav,57,Male,Jaipur,September,Festival,13,10,,Festival
,26,Male,Goa,December,Summer,7,4,Yes,Pilgrimage
Ayaan Singh,57,Male,Shimla,May,Monsoon,12,4,No,Festival
Krishna Pandey,60,Female,Kashmir,February,Festival,,4,Yes,Pilgrimage
Saanvi Deshmukh,53,Male,,June,Summer,3,1,Yes,Business
Sneha Pandey,48,Male,Goa,January,Monsoon,5,1,Yes,Festival
Kiran Yadav,38,Male,Konkan,December,Winter,11,,No,Festival
Aadhya Patil,53,Male,Shimla,January,Summer,3,10,Yes,Business
Saanvi Iyer,39,Male,Kashmir,December,Monsoon,12,6,No,Festival
Saanvi Patil,60,Male,Kashmir,March,Monsoon,6,4,Yes,Holiday
Manisha Patil,60,Male,Jaipur,September,Monsoon,8,5,No,Business
Arjun Ghosh,46,Male,Manali,April,Festival,4,8,No,Business
Anika Waghmare,34,Female,Kashmir,September,Winter,14,1,Yes,Holiday
Saanvi Iyer,21,,Manali,April,Monsoon,7,4,Yes,Festival
Gaurav Chitkote,39,Male,Goa,,Summer,2,5,Yes,Pilgrimage
Ira Sharma,49,Female,Kashmir,February,Summer,,4,No,Business
Gaurav Verma,36,Male,Manali,March,Monsoon,14,7,No,Holiday
Rohit Sharma,47,Male,Jaipur,June,Monsoon,15,9,Yes,Festival
Aarav Mishra,46,Male,Manali,May,Winter,7,,Yes,Festival
Manisha Naidu,30,Male,Goa,August,Festival,10,1,No,Holiday
Diya Naidu,52,Male,Kashmir,June,Monsoon,3,4,Yes,Holiday
Sunita Deshmukh,50,Female,Manali,January,Winter,9,5,No,
Rahul Pandey,54,Female,Manali,June,Festival,10,9,Yes,Holiday
Sara Thakur,26,Male,Shimla,April,Festival,,7,Yes,Holiday
Abhilasha Thakur,42,Male,Goa,October,Summer,9,2,No,Business
Sunita Ghosh,23,Male,Kashmir,March,Winter,9,5,No,Holiday
Reyansh Verma,36,Male,Konkan,November,Monsoon,9,,No,Holiday
Aditya Singh,30,Male,Vrindavan,December,Monsoon,8,5,No,
Manisha Naidu,58,Male,Goa,July,Festival,8,9,No,Festival
Pooja More,42,Male,Jaipur,October,Summer,11,7,,Festival
Sneha Jadhav,27,Female,Kashmir,April,Festival,3,10,,Holiday
Rohit Naidu,47,Male,Goa,April,Summer,2,8,No,Business
Pooja Pawar,43,Male,Kashmir,November,Festival,3,3,Yes,Holiday
Prisha Yadav,21,Male,Kashmir,June,Monsoon,12,3,No,Pilgrimage
Manisha Jadhav,21,Male,Goa,September,Winter,12,6,No,Holiday
Abhilasha Thakur,38,Male,Konkan,October,Winter,13,7,Yes,Business
Aadhya Patil,32,Male,Kashmir,September,Festival,7,9,Yes,Holiday
Rahul Iyer,26,Male,Vrindavan,February,Monsoon,13,4,Yes,Pilgrimage
Ira More,54,Female,Manali,July,Winter,4,1,No,Business
Ishaan Kulkarni,53,Female,Goa,June,,7,7,Yes,Pilgrimage
Sunita More,55,,Goa,August,Monsoon,9,6,No,Holiday
Vihaan Yadav,,Male,Goa,September,Monsoon,10,8,Yes,Festival
,39,Male,Shimla,August,,3,1,Yes,Business
Rohit Chitkote,44,Male,Jaipur,November,Monsoon,3,9,Yes,Festival
Rahul Waghmare,29,Male,Kashmir,May,Monsoon,3,5,Yes,Holiday
Prisha Kulkarni,42,,Jaipur,December,Winter,10,,No,Business
Arjun Patil,47,Male,Jaipur,March,Festival,9,6,Yes,Business
Kiran Thakur,57,Male,Jaipur,April,Summer,6,4,No,Pilgrimage
Vivaan Pawar,24,Female,Manali,January,Winter,14,8,No,
Sujeet Iyer,42,Male,Kashmir,October,Summer,11,4,Yes,Pilgrimage
Pari Mishra,56,Female,Goa,February,Festival,3,3,No,Holiday
,22,Male,Kashmir,June,Festival,7,8,Yes,Business
Sneha More,37,Male,Manali,February,Summer,9,8,Yes,Pilgrimage
Aarav Singh,37,Male,Konkan,August,Festival,7,3,Yes,Pilgrimage
Gaurav Deshmukh,25,Female,Goa,February,Monsoon,9,4,No,Festival
Rahul Jadhav,32,Male,Goa,April,Monsoon,8,8,,Business
Arjun More,24,Female,Jaipur,May,Festival,9,3,No,Business
Sneha Waghmare,23,Male,Kashmir,September,Festival,,4,Yes,Holiday
Gaurav Yadav,50,Female,Jaipur,August,Festival,4,2,No,Festival
Sneha Iyer,43,Female,Goa,January,Winter,7,6,No,Festival
Ananya Patil,60,,Jaipur,December,Summer,14,9,No,Pilgrimage
,39,Male,Konkan,April,Festival,12,5,No,Pilgrimage
Myra Naidu,51,Female,Kashmir,February,Monsoon,12,1,Yes,Business
Pari Naidu,52,Male,Manali,December,Summer,3,3,Yes,
Abhilasha Mishra,38,Male,Jaipur,,Monsoon,,7,No,Pilgrimage
Sara Ghosh,31,Male,Konkan,June,Summer,5,7,Yes,Holiday
,37,Male,Kashmir,December,Festival,5,10,No,Holiday
Prisha Mishra,37,Female,Kashmir,June,Festival,5,5,No,Business
Sunita Reddy,18,Male,Jaipur,March,Summer,11,4,Yes,Pilgrimage
Myra Kulkarni,57,Female,Manali,November,,15,6,No,Festival
Kiran Sharma,19,Male,Kashmir,September,Monsoon,12,4,No,Festival
Ira Jadhav,34,Female,Kashmir,December,Monsoon,,7,No,Business
Sunita More,24,Female,,July,Festival,7,2,Yes,Business
Ishaan Ghosh,19,Female,Jaipur,June,Winter,6,3,Yes,Business
Myra Pawar,,Male,Konkan,,Winter,14,9,Yes,Festival
Pooja Deshmukh,20,Female,Vrindavan,September,Festival,10,2,No,Festival
Rahul Iyer,49,Female,Goa,November,Summer,13,10,Yes,Business
Sunita Ghosh,38,Male,Kashmir,October,Summer,14,8,No,Pilgrimage
Pooja Singh,42,Male,Manali,,Summer,10,4,Yes,Holiday
Sneha Singh,50,Male,Goa,April,Winter,14,10,No,
Aadhya Ghosh,25,Male,Konkan,,Summer,8,5,Yes,Business
Kiran Yadav,24,Male,Shimla,January,Monsoon,2,2,Yes,Pilgrimage
Pooja Mishra,60,Female,Konkan,April,Summer,6,9,Yes,Business
Prisha Sharma,34,Female,Shimla,,Winter,3,10,No,Pilgrimage
Rohit Yadav,45,Male,Vrindavan,November,Festival,2,1,No,Pilgrimage
Manisha Deshmukh,48,Male,Vrindavan,April,Winter,2,8,No,
Krishna Jadhav,22,Male,Kashmir,December,Festival,12,7,Yes,Business
Rahul Jadhav,31,Male,Manali,,Winter,7,8,Yes,Pilgrimage
Prisha Patil,21,Female,Goa,March,Festival,3,4,No,Business
Sneha Waghmare,26,Female,Konkan,July,Festival,7,5,Yes,Business
Saanvi Iyer,42,,Manali,April,,6,3,Yes,Business
Sai Ghosh,,Female,Kashmir,June,Summer,,4,Yes,Festival
Kiran Mishra,46,Male,Konkan,November,Winter,10,8,Yes,Festival
Sara Joshi,53,Male,Goa,December,Winter,6,10,No,Festival
Vihaan Chitkote,56,Male,Kashmir,November,Monsoon,12,10,No,Business
Aarav Yadav,55,Male,Shimla,April,Winter,9,4,No,
Pari Reddy,49,Female,Shimla,September,Monsoon,4,6,No,Holiday
Pooja Ghosh,32,Male,Goa,March,Summer,3,5,No,Pilgrimage
Manisha Pandey,52,Female,Vrindavan,October,Summer,15,6,No,Festival
Aditya Chitkote,38,Female,Konkan,August,Winter,3,3,Yes,Festival
Ananya Naidu,40,Male,Goa,January,Festival,8,7,No,Business
Rohit Chitkote,59,Male,Goa,March,Monsoon,9,5,No,Pilgrimage
Aadhya Kulkarni,49,Female,Goa,March,Winter,14,9,Yes,Business
Ishaan Ghosh,25,Male,Manali,November,Winter,10,10,No,Pilgrimage
Abhilasha Verma,44,Female,Manali,July,Festival,4,9,Yes,Business
Reyansh Pawar,18,Male,Manali,,Winter,8,4,No,Pilgrimage
Sara Sharma,54,Male,Jaipur,June,Summer,8,2,No,Pilgrimage
,42,Female,Manali,April,Summer,3,8,Yes,Business
Saanvi Mishra,57,Male,Kashmir,February,Winter,9,2,No,Business
Rohit Verma,48,Male,Goa,February,Monsoon,12,7,No,Pilgrimage
Anika Ghosh,53,Male,Manali,April,,13,1,Yes,Pilgrimage
Diya Naidu,55,Male,Konkan,April,Summer,5,10,No,Pilgrimage
Ananya Yadav,33,Male,Manali,July,Festival,3,3,Yes,Business
Ayaan Singh,20,Female,Kashmir,May,Winter,14,6,Yes,Business
Sara More,24,Female,Kashmir,December,Summer,3,8,Yes,Holiday
Pooja More,25,Male,,January,Festival,12,5,Yes,Pilgrimage
Ishaan Naidu,18,Male,Jaipur,July,Summer,11,5,Yes,Holiday
Pari Pawar,54,Male,Vrindavan,April,Summer,2,4,Yes,Pilgrimage
Ira Chitkote,39,Female,Kashmir,June,Summer,15,6,No,Festival
Pari Pandey,39,Male,Kashmir,June,Summer,3,5,Yes,Pilgrimage
Abhilasha Patil,51,Male,Jaipur,February,Festival,9,7,No,Holiday
Ishaan Chitkote,31,Female,Kashmir,September,Festival,7,2,Yes,Holiday
Ira Ghosh,45,Female,Kashmir,April,Festival,15,10,No,
Aarav Pandey,44,Female,Kashmir,March,Summer,,6,No,Pilgrimage
Aarav Waghmare,45,Male,Jaipur,October,Festival,8,4,Yes,Pilgrimage
Vihaan Ghosh,19,Male,Kashmir,July,Summer,7,6,Yes,Business
Sunita Waghmare,26,Male,Shimla,October,Monsoon,5,8,No,Holiday
Myra Ghosh,29,Male,Manali,November,Winter,15,,No,Holiday
Aarav Thakur,30,Male,Konkan,January,Festival,11,1,Yes,Festival
Vihaan Thakur,55,Male,Kashmir,December,Monsoon,13,9,No,Business
Vivaan Reddy,48,Male,Manali,February,Winter,7,1,Yes,Festival
Manisha Mishra,32,Male,Jaipur,April,Monsoon,10,4,,Festival
Arjun Kulkarni,32,Female,Goa,March,Festival,15,6,Yes,Pilgrimage
Kiran Pandey,43,Female,Shimla,,Summer,12,6,No,Pilgrimage
Aarav More,44,Male,Manali,October,Winter,2,1,No,
Ira More,52,Male,Manali,November,Festival,15,2,No,Business
Rohit Yadav,56,Female,Konkan,October,Festival,4,9,No,Holiday
Ishaan Yadav,53,Male,Jaipur,July,Festival,10,3,Yes,Pilgrimage
Vihaan Chitkote,54,Female,Shimla,May,Monsoon,15,4,Yes,Business
Ira Waghmare,23,Male,Goa,November,Monsoon,12,8,No,Business
Rohit Sharma,43,Male,Manali,March,Winter,3,4,No,Holiday
Aditya Sharma,50,Male,Goa,June,Summer,7,5,Yes,Festival
Sujeet Iyer,27,Male,Goa,January,Monsoon,9,9,No,Business
Rohit Mishra,53,Male,Shimla,May,Winter,5,3,Yes,Business
Kiran Chitkote,29,Male,Kashmir,March,Festival,8,,Yes,Business
Ayaan Sharma,50,Male,Goa,March,Festival,5,9,No,Festival
Vihaan Verma,,Male,Shimla,March,Monsoon,2,6,Yes,Business
Sai Jadhav,35,Female,Konkan,April,Winter,8,3,No,Business
Anika Chitkote,53,Male,Konkan,June,,4,7,Yes,Business
Sneha Chitkote,43,Male,Kashmir,August,Festival,4,6,Yes,Pilgrimage
Anika Chitkote,,Female,Jaipur,June,Monsoon,6,1,No,Holiday
Aditya Thakur,41,Female,Jaipur,August,Winter,,5,Yes,Business
Myra Joshi,49,Female,Jaipur,November,,15,,Yes,Holiday
,60,Female,Kashmir,September,Summer,,1,No,Holiday
Kiran Joshi,49,Male,Jaipur,June,Monsoon,10,8,Yes,Holiday
Aarav Jadhav,28,Female,Kashmir,September,Festival,6,7,No,Festival
Vivaan Ghosh,43,Male,Shimla,October,Summer,3,5,Yes,Festival
Ishaan Thakur,31,Male,Konkan,May,Summer,2,4,No,Holiday
Anika Patil,26,Male,Kashmir,June,Monsoon,12,10,Yes,Holiday
Sara Deshmukh,34,Female,Jaipur,November,Winter,8,7,Yes,Pilgrimage
Manisha Singh,41,Male,Shimla,March,Winter,5,9,Yes,Pilgrimage
Krishna Pawar,29,Female,Manali,June,Summer,10,8,Yes,Pilgrimage
Reyansh More,20,Male,Goa,February,,14,9,No,Festival
Reyansh Chitkote,21,Male,,December,Winter,9,4,No,Business
Diya Verma,24,Male,Manali,January,Monsoon,8,8,No,
Diya Joshi,56,Male,Jaipur,January,Festival,5,7,Yes,Festival
Manisha Singh,23,Female,Jaipur,September,Festival,5,4,No,Holiday
Ananya Joshi,42,Male,Goa,March,Winter,12,7,No,Pilgrimage
Ananya Pawar,55,Male,Jaipur,May,Summer,,9,No,Festival
Manisha Waghmare,50,Male,Konkan,April,Summer,3,8,No,Business
Vihaan Thakur,36,Male,Konkan,June,Summer,3,10,No,Pilgrimage
Pooja Thakur,47,Male,Shimla,August,Winter,10,3,Yes,Pilgrimage
Diya Kulkarni,59,Male,Vrindavan,May,Summer,2,8,Yes,Pilgrimage
Vihaan Pawar,30,Male,Jaipur,January,Winter,13,5,No,Pilgrimage
Rahul Yadav,50,Female,Shimla,November,Summer,3,3,No,Festival
Krishna Patil,39,Male,Jaipur,July,Monsoon,15,,No,Pilgrimage
Kiran Iyer,42,Male,Manali,May,Festival,12,1,No,Holiday
Aarav Mishra,19,Female,Goa,December,Summer,15,5,No,Pilgrimage
Kiran Waghmare,28,Male,Goa,October,Festival,5,5,,Business
Aadhya Ghosh,18,Female,Shimla,March,Winter,6,4,Yes,Holiday
Kiran Ghosh,55,Male,Konkan,April,Festival,6,2,No,Pilgrimage
,36,Male,Vrindavan,June,Festival,12,9,No,Pilgrimage
Sai Waghmare,48,Male,Kashmir,January,Summer,,9,No,Festival
Krishna Deshmukh,53,Female,Konkan,January,Monsoon,12,1,Yes,
Ananya More,54,Female,Shimla,August,Winter,5,7,Yes,Pilgrimage
Reyansh Mishra,,Male,Konkan,May,Winter,13,1,Yes,Festival
Manisha Naidu,48,Male,Manali,May,,15,9,No,Holiday
Sunita Reddy,31,Male,,April,Summer,15,4,Yes,Pilgrimage
Arjun Verma,58,Male,Goa,October,Monsoon,4,7,Yes,Business
Sujeet Singh,20,Female,Kashmir,December,Festival,12,10,Yes,Festival
Reyansh Thakur,45,Female,Goa,June,,6,9,No,
Aadhya Yadav,50,Female,Shimla,October,Summer,9,6,,Holiday
Vivaan Pandey,36,Male,Vrindavan,August,Monsoon,14,6,No,Business
Ayaan More,,Male,Jaipur,July,Summer,10,5,No,Business
Reyansh Chitkote,18,Male,Shimla,March,Festival,10,6,Yes,Pilgrimage
Ananya More,48,Female,Kashmir,October,Winter,15,7,No,Festival
Sara Ghosh,56,,Manali,May,Winter,12,4,Yes,Holiday
Krishna Singh,54,Female,Konkan,August,,2,9,No,Business
Ayaan More,25,Male,Konkan,December,Winter,5,1,Yes,Pilgrimage
Arjun Pandey,21,Male,Goa,October,Summer,8,4,Yes,Pilgrimage
Sara Ghosh,42,Female,Vrindavan,,Monsoon,14,1,,Business
Aadhya Iyer,35,Female,Konkan,November,Monsoon,14,9,No,Festival
Saanvi Patil,57,Female,Goa,April,Winter,,8,Yes,Pilgrimage
Gaurav Waghmare,18,Male,Kashmir,October,Festival,10,7,No,Holiday
Saanvi Reddy,18,Female,Shimla,October,Winter,9,5,Yes,Festival
Ira Jadhav,48,Male,Shimla,September,Winter,12,1,Yes,Pilgrimage
Sai Joshi,41,Male,Goa,June,Festival,5,5,Yes,Holiday
Ira Ghosh,51,Male,Goa,April,Festival,2,4,Yes,Pilgrimage
Aditya Thakur,34,Male,Jaipur,December,Winter,14,4,Yes,Pilgrimage
Sunita Joshi,57,Male,Goa,October,Winter,8,6,No,Business
Vihaan Thakur,60,Male,Jaipur,July,Festival,10,4,Yes,Pilgrimage
Aadhya Jadhav,39,Male,Goa,May,Festival,4,1,,Pilgrimage
Anika Naidu,60,Female,Kashmir,September,Festival,14,5,No,Festival
Ayaan Jadhav,18,Male,Manali,November,,8,1,No,Pilgrimage
Ira Mishra,29,,Kashmir,July,,,10,No,Pilgrimage
Sai Kulkarni,44,Female,Goa,May,Winter,4,5,Yes,Holiday
Gaurav Deshmukh,26,Male,Goa,July,,7,4,Yes,Holiday
Krishna Chitkote,40,Male,Goa,July,Monsoon,12,7,Yes,Festival
Krishna Jadhav,60,Female,Goa,February,Festival,13,7,No,Pilgrimage
Aditya Naidu,39,Male,Manali,April,Winter,5,5,Yes,Holiday
Aarav Iyer,31,Female,Shimla,November,Summer,2,7,Yes,Festival
Saanvi Naidu,32,Male,Kashmir,December,Festival,15,5,Yes,Business
Sunita Joshi,33,Male,Jaipur,April,Festival,4,5,Yes,Pilgrimage
Manisha Waghmare,47,Female,Goa,June,Festival,6,7,Yes,Pilgrimage
Sunita Ghosh,38,Male,Kashmir,September,Winter,8,,Yes,Festival
Anika Ghosh,58,Male,Shimla,June,Monsoon,5,6,No,Pilgrimage
,29,Male,Manali,December,Winter,2,5,No,
Sujeet Sharma,59,Male,Jaipur,November,Winter,14,7,Yes,Business
Aarav Jadhav,22,Male,Jaipur,August,Monsoon,14,2,No,Pilgrimage
Pari Mishra,42,Female,Kashmir,February,Monsoon,12,10,No,Pilgrimage
Krishna Yadav,31,Male,Goa,January,Winter,3,6,No,Festival
Saanvi Thakur,22,Male,Kashmir,May,Summer,2,10,Yes,Pilgrimage
Ishaan Ghosh,30,Male,Shimla,June,Winter,5,6,No,Holiday
Vihaan Pandey,18,Female,Jaipur,,Monsoon,5,7,Yes,Holiday
Sneha Jadhav,30,,Manali,August,Monsoon,12,8,Yes,Festival
Pooja Naidu,29,Male,Manali,December,Winter,5,5,No,Festival
Rohit Thakur,19,Male,Manali,January,Monsoon,15,5,,Holiday
,48,Male,Kashmir,December,Winter,14,3,,Pilgrimage
Sneha Verma,47,Female,Goa,August,Summer,8,3,Yes,Festival
Ishaan Mishra,56,Female,Konkan,February,Monsoon,15,3,Yes,Business
Sneha Yadav,58,Female,Manali,February,Summer,8,5,Yes,Holiday
Ayaan Iyer,30,Male,Shimla,July,Winter,10,6,No,Pilgrimage
Sneha Reddy,53,Female,Kashmir,January,Summer,10,9,No,Holiday
Prisha Waghmare,25,Male,Konkan,August,Winter,12,2,No,Pilgrimage
Manisha More,24,,,August,Summer,10,6,No,Festival
Vivaan Yadav,22,Male,Jaipur,January,Summer,,6,Yes,Festival
Abhilasha Naidu,23,Female,Vrindavan,October,Winter,10,10,Yes,Festival
Myra Thakur,42,Male,Manali,August,Monsoon,2,2,Yes,Holiday
Reyansh Sharma,51,Male,Goa,April,Summer,6,4,No,Pilgrimage
Vivaan Pandey,43,Male,Konkan,September,Festival,11,8,No,Business
Ira Chitkote,28,Female,Konkan,,Summer,11,10,No,Festival
Diya Joshi,52,Male,Goa,July,Summer,10,2,Yes,Festival
Krishna Jadhav,35,Male,Kashmir,February,Monsoon,8,3,Yes,Business
Reyansh Jadhav,27,Male,Goa,March,Festival,12,1,Yes,Holiday
Rahul Pandey,18,,Goa,December,Festival,5,7,No,Pilgrimage
Sara Iyer,42,,Shimla,March,Monsoon,,1,No,Holiday
Aarav Mishra,21,Male,Jaipur,October,Winter,3,3,No,Pilgrimage
Myra Singh,40,Male,Manali,November,Summer,9,1,No,Business
Ishaan Pawar,43,Female,Manali,January,Monsoon,3,6,Yes,Holiday
Abhilasha Singh,21,Male,Goa,,Summer,12,1,No,Holiday
Ayaan Jadhav,47,Female,Goa,April,Monsoon,,9,Yes,Pilgrimage
Manisha Pawar,24,Female,Kashmir,January,Summer,9,9,Yes,Business
Sunita Mishra,41,Female,Manali,March,Summer,13,,Yes,Festival
Saanvi Jadhav,35,Female,Goa,September,Winter,7,5,Yes,Festival
Vivaan Pandey,60,Male,Goa,March,Festival,3,1,Yes,Holiday
Ayaan Waghmare,23,Male,Manali,April,Summer,9,10,Yes,
Saanvi Pawar,50,Male,Goa,September,Monsoon,5,1,No,Pilgrimage
Pooja Kulkarni,27,Male,Vrindavan,July,Monsoon,6,1,Yes,Holiday
Prisha Reddy,44,Male,Kashmir,October,Festival,10,3,Yes,Holiday
Anika Reddy,29,Male,Manali,January,Summer,14,3,No,Pilgrimage
Sujeet Waghmare,53,Male,Manali,April,,12,5,No,Pilgrimage
Saanvi Yadav,,Male,Vrindavan,December,Summer,10,8,Yes,Business
Vihaan Sharma,29,Male,Jaipur,May,Winter,12,6,Yes,Business
Abhilasha Patil,58,Male,Konkan,July,Summer,9,1,Yes,Business
Reyansh Naidu,31,Male,Kashmir,,Monsoon,12,8,No,Business
Ira Pandey,26,Female,,December,Festival,13,7,Yes,Festival
Sunita Thakur,59,Male,Goa,June,Winter,4,8,Yes,Holiday
Krishna Waghmare,60,Female,Manali,,Festival,14,7,No,Holiday
Manisha Sharma,58,Male,Vrindavan,April,Summer,4,9,,Festival
Diya Singh,59,Female,Goa,June,Winter,8,6,No,Festival
Sara Verma,35,Male,Shimla,March,Festival,10,10,Yes,Festival
Sujeet Iyer,49,Female,Goa,September,Festival,6,4,Yes,Business
Arjun Pawar,22,Male,Manali,July,Monsoon,7,6,Yes,Pilgrimage
Sneha Singh,,,Kashmir,April,Summer,3,2,No,Holiday
Sujeet Deshmukh,38,Male,Kashmir,March,Winter,12,10,No,Festival
Anika Ghosh,37,Male,Manali,June,Festival,8,3,Yes,Festival
,,Female,Shimla,April,Festival,10,4,Yes,Pilgrimage
Ishaan Verma,21,Male,Jaipur,October,Festival,12,10,No,Business
Ayaan Yadav,39,Male,Goa,October,Festival,10,6,Yes,Festival
Vivaan Pawar,57,Female,Goa,December,Festival,15,1,No,Festival
Rohit Singh,25,Female,Goa,August,Summer,3,5,No,Pilgrimage
Aditya Iyer,52,Male,,May,Winter,6,3,No,Business
Sneha Patil,58,Male,Konkan,November,Festival,15,3,Yes,Pilgrimage
Kiran Patil,52,Male,Shimla,February,Winter,9,10,Yes,Business
Sneha More,43,Female,Manali,September,Summer,5,10,Yes,Business
Prisha Sharma,43,Female,Kashmir,February,Monsoon,11,5,Yes,Festival
Ishaan Yadav,58,Male,Konkan,October,Summer,12,4,No,Business
Pooja Patil,28,Female,Manali,August,Winter,5,6,Yes,Pilgrimage
Pari Verma,59,Male,Kashmir,September,Summer,5,4,Yes,Pilgrimage
,39,Male,Vrindavan,July,Monsoon,14,2,Yes,Festival
Aditya Naidu,,Female,Vrindavan,January,Festival,6,5,Yes,
Manisha Reddy,58,Female,Jaipur,April,Monsoon,3,5,Yes,Festival
Pari Sharma,36,Male,Jaipur,January,Festival,3,2,Yes,Holiday
Myra Sharma,21,Female,Vrindavan,October,Summer,7,9,No,Pilgrimage
Gaurav Deshmukh,30,,Manali,June,Monsoon,12,1,Yes,Festival
Sai Reddy,23,Male,Konkan,February,Monsoon,15,9,,Business
Arjun Mishra,48,Male,Goa,,Summer,11,8,Yes,Pilgrimage
Kiran Patil,53,Male,Kashmir,March,Winter,3,4,No,Pilgrimage
Sunita More,27,Male,Kashmir,June,Monsoon,3,5,Yes,Festival
Gaurav More,21,,Shimla,November,Monsoon,,1,Yes,Pilgrimage
Sai Kulkarni,48,Male,Manali,February,Monsoon,6,3,Yes,Business
Ayaan Thakur,37,Male,Manali,February,Winter,12,3,Yes,Festival
Saanvi Waghmare,32,Female,Vrindavan,December,,2,6,No,Business
Diya Joshi,23,Female,Konkan,December,Monsoon,10,10,No,Business
Krishna Naidu,44,,Manali,June,Summer,12,8,Yes,Pilgrimage
Kiran Joshi,30,Male,Jaipur,October,Festival,5,8,Yes,Pilgrimage
Reyansh Naidu,25,Male,Kashmir,January,Monsoon,14,1,No,Holiday
Kiran Ghosh,56,Female,Manali,March,Festival,11,9,,Pilgrimage
Pari Pawar,18,Male,Konkan,July,Winter,15,5,Yes,Pilgrimage
Manisha Reddy,57,Male,Kashmir,May,Monsoon,2,9,No,Business
Manisha Deshmukh,38,Male,Goa,May,Monsoon,8,2,No,Business
Diya Waghmare,30,Male,Manali,July,Summer,12,3,Yes,Festival
Ananya Ghosh,19,Male,Manali,June,Festival,14,4,No,Holiday
Pooja Naidu,49,Male,Shimla,June,Winter,15,6,No,Holiday
Aarav Mishra,29,,Jaipur,October,Festival,9,,Yes,Holiday
Myra Reddy,18,Female,Jaipur,August,Festival,5,4,No,Holiday
Vivaan Reddy,54,,Jaipur,August,Winter,8,7,Yes,Business
Myra Thakur,32,Female,Jaipur,November,Monsoon,7,10,No,Pilgrimage
Diya Yadav,46,Female,Kashmir,March,Summer,9,,No,Festival
Ananya Waghmare,39,Male,Manali,May,Summer,4,1,Yes,Holiday
Reyansh More,33,Female,Jaipur,November,Monsoon,,6,Yes,Pilgrimage
Vivaan Chitkote,24,Male,Kashmir,May,Festival,15,7,Yes,
Prisha More,59,Female,Kashmir,January,Winter,11,3,No,Business
Sara Singh,35,Male,Manali,March,Winter,9,8,No,Holiday
Sujeet Iyer,43,Male,Konkan,January,Summer,2,10,No,Business
Ananya Verma,24,Male,Manali,January,Summer,,8,No,Festival
Ananya Patil,52,Male,Manali,November,Summer,6,7,Yes,
Sai Reddy,52,Male,Manali,,,3,,Yes,Festival
Sai Ghosh,44,Male,Goa,February,Festival,7,3,No,Business
Vihaan Naidu,20,,,January,Winter,14,4,,Holiday
Aditya Naidu,47,Female,Kashmir,November,Festival,9,2,Yes,Pilgrimage
Sara Verma,49,Male,Manali,,Festival,10,7,Yes,
,52,Male,Jaipur,November,Summer,5,10,No,Festival
Abhilasha Mishra,26,Female,Jaipur,January,Winter,9,7,Yes,Pilgrimage
Pooja Pandey,54,Male,Goa,,Monsoon,4,4,No,
Gaurav Naidu,21,Female,Konkan,July,Winter,6,7,Yes,Business
Ananya Reddy,38,Male,Konkan,July,Summer,3,9,No,Holiday
Myra Chitkote,25,Female,Manali,October,Summer,12,10,Yes,Business
Kiran More,37,Male,Jaipur,July,Summer,13,1,Yes,Pilgrimage
Aarav Kulkarni,33,Female,Manali,June,Summer,13,5,Yes,
Pari Yadav,47,Female,Manali,March,Monsoon,6,,No,Festival
Aarav Patil,49,Female,Shimla,January,Monsoon,10,6,No,Business
